,0
1939-11-01,6.16276
1939-12-01,6.16276
1940-01-01,6.16276
1940-02-01,6.16276
1940-03-01,6.24177
1940-04-01,6.24177
1940-05-01,6.24177
1940-06-01,6.24177
1940-07-01,6.32078
1940-08-01,6.32078
1940-09-01,6.399789
1940-10-01,6.399789
1940-11-01,6.399789
1940-12-01,6.4787989999999995
1941-01-01,6.4787989999999995
1941-02-01,6.4787989999999995
1941-03-01,6.4787989999999995
1941-04-01,6.4787989999999995
1941-05-01,6.4787989999999995
1941-06-01,6.636817999999999
1941-07-01,6.715828
1941-08-01,6.794838
1941-09-01,6.873848
1941-10-01,6.873848
1941-11-01,6.952857000000001
1941-12-01,6.873848
1942-01-01,6.873848
1942-02-01,6.873848
1942-03-01,6.952857000000001
1942-04-01,6.952857000000001
1942-05-01,6.952857000000001
1942-06-01,6.952857000000001
1942-07-01,7.031867
1942-08-01,7.031867
1942-09-01,6.952857000000001
1942-10-01,7.031867
1942-11-01,7.110877
1942-12-01,7.110877
1943-01-01,6.952857000000001
1943-02-01,6.952857000000001
1943-03-01,6.952857000000001
1943-04-01,7.110877
1943-05-01,7.110877
1943-06-01,7.110877
1943-07-01,7.189887
1943-08-01,7.189887
1943-09-01,7.268897
1943-10-01,7.268897
1943-11-01,7.268897
1943-12-01,7.268897
1944-01-01,7.189887
1944-02-01,7.189887
1944-03-01,7.189887
1944-04-01,7.189887
1944-05-01,7.189887
1944-06-01,7.189887
1944-07-01,7.189887
1944-08-01,7.189887
1944-09-01,7.189887
1944-10-01,7.189887
1944-11-01,7.189887
1944-12-01,7.110877
1945-01-01,7.110877
1945-02-01,7.189887
1945-03-01,7.189887
1945-04-01,7.189887
1945-05-01,7.189887
1945-06-01,7.268897
1945-07-01,7.268897
1945-08-01,7.268897
1945-09-01,7.268897
1945-10-01,7.268897
1945-11-01,7.268897
1945-12-01,7.268897
1946-01-01,7.268897
1946-02-01,7.268897
1946-03-01,7.268897
1946-04-01,7.268897
1946-05-01,7.268897
1946-06-01,7.426916
1946-07-01,7.505926
1946-08-01,7.584936
1946-09-01,7.584936
1946-10-01,7.663945
1946-11-01,7.663945
1946-12-01,7.663945
1947-01-01,7.663945
1947-02-01,7.663945
1947-03-01,7.742955
1947-04-01,7.821965
1947-05-01,7.979984
1947-06-01,8.058994
1947-07-01,8.138003
1947-08-01,8.138003
1947-09-01,8.375033
1947-10-01,8.533052
1947-11-01,8.612062
1947-12-01,8.770082
1948-01-01,8.849092
1948-02-01,9.007111
1948-03-01,9.007111
1948-04-01,9.086121
1948-05-01,9.165131
1948-06-01,9.32315
1948-07-01,9.32315
1948-08-01,9.40216
1948-09-01,9.560179
1948-10-01,9.560179
1948-11-01,9.560179
1948-12-01,9.560179
1949-01-01,9.560179
1949-02-01,9.560179
1949-03-01,9.560179
1949-04-01,9.560179
1949-05-01,9.560179
1949-06-01,9.560179
1949-07-01,9.560179
1949-08-01,9.639189
1949-09-01,9.639189
1949-10-01,9.718199
1949-11-01,9.718199
1949-12-01,9.639189
1950-01-01,9.560179
1950-02-01,9.639189
1950-03-01,9.718199
1950-04-01,9.718199
1950-05-01,9.718199
1950-06-01,9.718199
1950-07-01,9.797209
1950-08-01,9.876218
1950-09-01,10.034239999999999
1950-10-01,10.192260000000001
1950-11-01,10.192260000000001
1950-12-01,10.192260000000001
1951-01-01,10.27127
1951-02-01,10.5083
1951-03-01,10.58731
1951-04-01,10.745330000000001
1951-05-01,10.745330000000001
1951-06-01,10.98235
1951-07-01,10.98235
1951-08-01,11.06136
1951-09-01,11.140369999999999
1951-10-01,11.219380000000001
1951-11-01,11.29839
1951-12-01,11.29839
1952-01-01,11.3774
1952-02-01,11.29839
1952-03-01,11.219380000000001
1952-04-01,11.219380000000001
1952-05-01,11.140369999999999
1952-06-01,11.140369999999999
1952-07-01,11.140369999999999
1952-08-01,11.140369999999999
1952-09-01,11.140369999999999
1952-10-01,11.140369999999999
1952-11-01,11.140369999999999
1952-12-01,11.140369999999999
1953-01-01,11.140369999999999
1953-02-01,11.06136
1953-03-01,10.98235
1953-04-01,10.98235
1953-05-01,10.98235
1953-06-01,10.98235
1953-07-01,10.98235
1953-08-01,11.140369999999999
1953-09-01,11.140369999999999
1953-10-01,11.219380000000001
1953-11-01,11.140369999999999
1953-12-01,11.140369999999999
1954-01-01,11.140369999999999
1954-02-01,11.140369999999999
1954-03-01,11.06136
1954-04-01,11.06136
1954-05-01,11.06136
1954-06-01,11.140369999999999
1954-07-01,11.140369999999999
1954-08-01,11.219380000000001
1954-09-01,11.219380000000001
1954-10-01,11.219380000000001
1954-11-01,11.219380000000001
1954-12-01,11.140369999999999
1955-01-01,11.140369999999999
1955-02-01,11.140369999999999
1955-03-01,11.140369999999999
1955-04-01,11.140369999999999
1955-05-01,11.140369999999999
1955-06-01,11.140369999999999
1955-07-01,11.140369999999999
1955-08-01,11.140369999999999
1955-09-01,11.219380000000001
1955-10-01,11.219380000000001
1955-11-01,11.219380000000001
1955-12-01,11.219380000000001
1956-01-01,11.219380000000001
1956-02-01,11.140369999999999
1956-03-01,11.140369999999999
1956-04-01,11.140369999999999
1956-05-01,11.140369999999999
1956-06-01,11.29839
1956-07-01,11.3774
1956-08-01,11.45641
1956-09-01,11.3774
1956-10-01,11.45641
1956-11-01,11.53542
1956-12-01,11.53542
1957-01-01,11.53542
1957-02-01,11.53542
1957-03-01,11.53542
1957-04-01,11.61443
1957-05-01,11.61443
1957-06-01,11.693439999999999
1957-07-01,11.693439999999999
1957-08-01,11.77245
1957-09-01,11.851460000000001
1957-10-01,11.851460000000001
1957-11-01,11.851460000000001
1957-12-01,11.77245
1958-01-01,11.851460000000001
1958-02-01,11.851460000000001
1958-03-01,11.93047
1958-04-01,11.93047
1958-05-01,11.93047
1958-06-01,11.93047
1958-07-01,11.93047
1958-08-01,11.93047
1958-09-01,12.08849
1958-10-01,12.08849
1958-11-01,12.08849
1958-12-01,12.08849
1959-01-01,12.08849
1959-02-01,12.08849
1959-03-01,12.00948
1959-04-01,12.00948
1959-05-01,12.08849
1959-06-01,11.93047
1959-07-01,12.08849
1959-08-01,12.08849
1959-09-01,12.24651
1959-10-01,12.24651
1959-11-01,12.24651
1959-12-01,12.24651
1960-01-01,12.24651
1960-02-01,12.24651
1960-03-01,12.1675
1960-04-01,12.24651
1960-05-01,12.24651
1960-06-01,12.24651
1960-07-01,12.24651
1960-08-01,12.24651
1960-09-01,12.24651
1960-10-01,12.404530000000001
1960-11-01,12.404530000000001
1960-12-01,12.404530000000001
