,0
2011-11-01,95.90227
2011-12-01,96.00407
2012-01-01,96.20769
2012-02-01,96.4113
2012-03-01,96.81853000000001
2012-04-01,96.92033
2012-05-01,96.61491
2012-06-01,96.10588
2012-07-01,95.80046
2012-08-01,96.00407
2012-09-01,96.10588
2012-10-01,96.10588
2012-11-01,95.80046
2012-12-01,95.80046
2013-01-01,95.90227
2013-02-01,95.69865
2013-03-01,95.90227
2013-04-01,96.20769
2013-05-01,96.30949
2013-06-01,96.30949
2013-07-01,96.51311
2013-08-01,96.81853000000001
2013-09-01,97.12395
2013-10-01,97.22575
2013-11-01,97.22575
2013-12-01,97.32757
2014-01-01,97.22575
2014-02-01,97.22575
2014-03-01,97.42936999999999
2014-04-01,99.46552
2014-05-01,99.87274000000001
2014-06-01,99.77094
2014-07-01,99.87274000000001
2014-08-01,100.0764
2014-09-01,100.28
2014-10-01,99.97455
2014-11-01,99.66913000000001
2014-12-01,99.66913000000001
2015-01-01,99.56732
2015-02-01,99.36371
2015-03-01,99.66913000000001
2015-04-01,100.1782
2015-05-01,100.4836
2015-06-01,100.1782
2015-07-01,100.0764
2015-08-01,100.1782
2015-09-01,100.28
2015-10-01,100.28
2015-11-01,99.87274000000001
2015-12-01,99.87274000000001
2016-01-01,99.46552
2016-02-01,99.56732
2016-03-01,99.66913000000001
2016-04-01,99.87274000000001
2016-05-01,99.97455
2016-06-01,99.87274000000001
2016-07-01,99.66913000000001
2016-08-01,99.66913000000001
2016-09-01,99.77094
2016-10-01,100.3818
2016-11-01,100.3818
2016-12-01,100.1782
2017-01-01,99.97455
2017-02-01,99.87274000000001
2017-03-01,99.87274000000001
2017-04-01,100.28
2017-05-01,100.3818
2017-06-01,100.28
2017-07-01,100.0764
2017-08-01,100.28
2017-09-01,100.5854
2017-10-01,100.5854
2017-11-01,100.8908
2017-12-01,101.1962
2018-01-01,101.29799999999999
2018-02-01,101.29799999999999
2018-03-01,100.9926
2018-04-01,100.8908
2018-05-01,101.0944
2018-06-01,100.9926
2018-07-01,100.9926
2018-08-01,101.6035
2018-09-01,101.7053
2018-10-01,102.0107
2018-11-01,101.8071
2018-12-01,101.5017
2019-01-01,101.5017
2019-02-01,101.5017
2019-03-01,101.5017
2019-04-01,101.8071
2019-05-01,101.8071
2019-06-01,101.6035
2019-07-01,101.6035
2019-08-01,101.8071
2019-09-01,101.9089
2019-10-01,102.2143
2019-11-01,102.3161
2019-12-01,102.3161
2020-01-01,102.3161
2020-02-01,102.1125
2020-03-01,102.1125
2020-04-01,102.0107
2020-05-01,101.9089
2020-06-01,101.7053
2020-07-01,101.8071
2020-08-01,101.9089
2020-09-01,101.7053
2020-10-01,101.6035
2020-11-01,101.29799999999999
2020-12-01,101.0944
2021-01-01,101.6035
2021-02-01,101.6035
2021-03-01,101.7053
2021-04-01,100.8908
2021-05-01,101.1962
2021-06-01,101.29799999999999
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
